"onto"	"ID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"	"genes2"
"1"	"MF"	"GO:0016746"	0.000679763338787791	2.2700512326175	13.6844382897698	26	97	"transferase activity, transferring acyl groups"	"LPCAT3 ACAA2 CRAT SPTSSA F13A1 FASN GCAT KAT6B CERS6 QPCT HMGCS2 ZDHHC13 CROT HRASLS2 ELOVL5 SCP2 SOAT1 TAF5 ELOVL6 CERS4 NCOA3 OGT GGTLC1 TEX30 NMT2 SPTLC2"
"2"	"MF"	"GO:0019864"	0.0021353835648202	10.2037037037037	1.12861346719751	5	8	"IgG binding"	"FCGR1B FCGR2A FCGR2B FCGR3B PIP"
"3"	"MF"	"GO:0005496"	0.00239363107078592	5.403125	2.10338835794961	7	15	"steroid binding"	"IRX5 PGRMC2 ESRRG FABP6 NR3C1 AR AKR1D1"
"4"	"MF"	"GO:0016616"	0.00243663572650929	2.49552452559971	8.32352432058162	17	59	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	"DHRS2 AKR1A1 CYB5A FASN AKR1B1 GPD1L G6PD HMGCR IDH1 LDHB ME2 DCXR AKR1B10 SORD TSTA3 UGDH CBR1"
"5"	"MF"	"GO:0000062"	0.00270898338042141	4.4618677481131	2.68045698459408	8	19	"fatty-acyl-CoA binding"	"ECI2 ACAD8 ALDH6A1 ACOX1 SCP2 SOAT1 ACOX2 ACOX3"
"6"	"MF"	"GO:0003997"	0.00279892343579081	Inf	0.423230050199065	3	3	"acyl-CoA oxidase activity"	"ACOX1 ACOX2 ACOX3"
"7"	"MF"	"GO:0016628"	0.00388015551249828	4.76773927392739	2.25722693439501	7	16	"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor"	"DHCR24 FASN LBR BLVRB AKR1D1 TM7SF2 SRD5A3"
"8"	"MF"	"GO:0005154"	0.00580469597890401	4.29009900990099	2.3983036177947	7	17	"epidermal growth factor receptor binding"	"VAV3 AGR2 EGF ERBB4 EFEMP1 PLSCR1 SOCS5"
"9"	"MF"	"GO:0042803"	0.00746613044609796	1.45939011250595	46.1320754716981	62	327	"protein homodimerization activity"	"RASGRP1 CPQ AGR2 DNPH1 CENPF RRAGA CORO1A ADD2 DCK ABAT ERBB4 FASN FGFR2 GPD1L QPRT CADM1 G6PD GALE GAMT WWTR1 GHR GJB1 GSTZ1 HMGCR HPRT1 HSF2 IDH1 KIT SMAD4 MID1 ASNS MSH2 ATF3 ENPP1 STK26 PFKM BCL11A CCDC88A KLHL7 PRLR SMAGP PTGS2 PTPRE PLEKHB1 BCL2 BCL2A1 S100A6 SLC16A1 SRF TFAP2A TFAP2B TOP2A TYMS XBP1 FZD4 DGKD CAV2 PEX11A MTMR2 LRRFIP1 CEP57 GOLGA5"
"10"	"MF"	"GO:0008329"	0.00751935961916734	6.11975308641975	1.41076683399688	5	10	"signaling pattern recognition receptor activity"	"FCN1 LY96 CLEC7A MARCO CD14"
